Nbr_chambre,Surface,Code_postal,Date_achat,Prix
4,296.51542574456465,H4N 7Y1,2019/3/27,378117.8557756326
3,304.98945409646825,H9E 5S2,2018/5/18,401613.9770234236
5,300.4488274994093,H5D 4G6,2020/3/17,409934.82708911237
4,300.0895791110389,H8O 9Q7,2020/9/6,402694.60216385144
5,300.3882226643889,H4U 8K6,2018/10/7,409936.52122015966
4,301.03183258928897,H7U 3W5,2019/2/5,395170.5956397044
5,301.5410449650189,H7L 5I1,2018/1/15,373220.3749384662
3,303.283003065356,H1C 6K4,2020/10/24,375354.50329612294
4,298.76933612336074,H8R 0N8,2020/2/9,386452.2362438843
3,302.8666137345784,H3X 1O6,2017/8/21,419108.1552904762
3,299.9058168506311,H3C 3G8,2017/5/15,400607.5962434866
4,301.9359553618576,H1A 4D4,2017/2/10,400332.6659792892
4,299.46763920822673,H8V 0C5,2017/8/24,409956.23375301994
5,297.5260588636872,H8C 8D5,2020/10/27,411522.3093942766
4,300.6392529645084,H3J 4M3,2017/4/16,393387.38987501
3,302.0563954288477,H4N 2Z6,2017/11/17,386739.7250477103
5,304.64435515199943,H0T 4F4,2019/3/14,423318.2332191955
3,301.32081767820773,H3P 4V8,2020/3/22,373498.81108994375
3,297.91093549535645,H1F 0M3,2020/6/2,429937.46984061494
3,297.32957078745227,H9V 3B2,2017/9/17,464203.3324519317
4,296.9541261936622,H6R 6H6,2020/6/21,411185.82813861844
3,299.72392617243105,H0J 4K1,2018/8/2,384813.5518404481
3,298.1779275016275,H7U 8C8,2020/4/21,398142.08153972065
4,302.81737288918174,H1A 9N5,2020/5/20,402741.11837659695
5,302.07352870516013,H4O 5P2,2017/11/9,427755.6104689055
5,301.5567194413295,H3Y 7R8,2019/9/27,387171.96136860223
3,302.8312286819941,H3Y 7V8,2020/8/8,375550.10219582904
5,300.7285572703965,H9R 1Y7,2020/11/25,406316.6606259305
3,303.19379521771316,H6H 3N2,2017/3/4,376264.1936554296
5,299.18863874885506,H1D 0O9,2018/11/16,381458.14634407667
4,297.3525188508985,H3P 8L1,2017/3/27,406524.007494754
3,303.3421548688662,H7N 9P6,2018/5/2,385113.4833487262
3,301.83656821080314,H2W 7A3,2017/1/23,405666.3460181085
4,297.90039413798394,H2T 5L0,2019/7/19,398841.30060818925
3,295.13809407091287,H4D 1J5,2018/7/6,391684.61733035295
3,297.2861673545979,H7U 7V1,2020/7/23,401240.63840634073
3,302.6314927174531,H7N 5Q7,2020/3/16,386232.98587848514
4,301.2415358782088,H0N 9P8,2019/4/11,397887.41120127996
4,300.9745429750458,H2B 3D6,2018/10/21,433674.2775288173
3,301.7003961595406,H5T 0W8,2017/1/6,389389.2770006126
4,299.81613171084194,H7P 5B9,2019/9/16,419992.9746578975
5,300.63422738407763,H7M 6H2,2017/7/3,414240.27874716045
4,301.50154898545753,H9R 1G0,2020/3/14,375691.7331734425
4,299.9242343987243,H5E 8A5,2020/1/10,423271.3866049109
4,298.9999395714761,H8Z 1A2,2018/3/7,417237.56746903824
3,299.70380112160274,H8B 3Y3,2019/11/3,388091.8747424025
5,305.69706111277884,H5S 0I5,2017/5/12,429142.470651856
4,303.11148817273556,H8Q 0H8,2018/10/6,383473.11455273686
4,302.74597940332023,H9U 9O9,2018/7/15,381399.861843374
5,297.6990539682527,H0I 4W7,2020/11/5,374389.89154077973
5,298.7978564577489,H5M 6I9,2020/4/14,398695.9870461609
3,304.55094080859465,H7U 1O2,2020/8/23,390898.64738192066
3,302.6754022222227,H2Z 6Q7,2019/3/22,416579.2314509932
4,296.06192719460086,H1W 9Y1,2018/2/3,379306.39649288054
3,303.70362537504207,H9F 0R3,2019/3/19,416568.8217729804
5,297.6005171190352,H6J 9Y8,2018/11/26,394035.5201544835
5,297.81645581885095,H0B 9N3,2019/10/4,362899.30664300534
5,302.1387080317673,H9N 2B9,2020/10/18,422844.2963056669
3,300.9404658996661,H9A 5V8,2020/9/18,417929.85560762486
4,301.51454848106357,H1J 1C6,2020/10/17,384033.93545536284
5,299.30018043721816,H8Z 9D1,2020/1/19,399515.1850554443
4,303.0524609673009,H6Q 8N1,2018/6/10,406768.6855553015
4,300.4894237278128,H7E 3B1,2017/10/17,415438.8896646743
5,301.87789555497926,H5O 1Z9,2020/6/5,411262.20043182065
3,303.8106568445165,H6E 9H1,2019/4/1,421326.0050573426
3,299.81880965635173,H0R 4I3,2018/10/15,394279.9302921924
4,298.4312889159316,H0Q 1Y5,2018/9/24,380255.45526525995
5,297.65723619746075,H2D 9Y1,2019/5/14,384024.76380015444
4,302.23198190694563,H0E 8W1,2018/1/3,420348.8380973338
5,301.4706648876273,H8E 7Z6,2018/1/10,411210.1946739004
4,296.43421174670357,H3I 0Z9,2019/7/11,391722.50518904417
5,296.02769995542076,H1J 7Q1,2018/2/24,385123.19842492987
3,302.32353829037754,H9E 2V5,2017/7/25,430503.15934729937
3,301.12969921460655,H8Y 3U3,2020/6/21,423022.3208298912
4,297.98754817036377,H2E 7Y6,2019/3/7,385522.5889322864
3,304.73757295510336,H6Y 7Y2,2020/10/3,390388.37939066195
3,300.08908026897296,H3Y 1K1,2020/7/21,410226.79206853174
4,302.87262360365656,H9J 3U7,2020/7/5,409183.4512813747
5,299.8633203022088,H2A 6N7,2020/2/13,383009.5243589168
4,301.4922850076054,H7P 3R8,2020/7/25,397120.58566067973
3,302.3980794505449,H5B 3T5,2020/4/26,417201.08950034773
3,301.14180983998176,H0T 9S1,2017/2/21,396492.4809358105
4,297.3041065486525,H0V 6Z8,2019/7/23,427750.8958996241
5,302.629456207122,H9H 2P5,2018/1/13,386322.7890718702
5,300.5659732358827,H6C 8L7,2020/1/6,394944.69399565266
5,303.0777259798399,H7F 6D8,2017/11/2,412151.15925488377
5,301.6082990835658,H2E 8Q8,2020/1/9,385139.2817013765
4,297.5375830990009,H2M 2J0,2020/8/22,388613.7222721031
3,300.54822277156603,H0X 6Q6,2019/10/24,456834.7073392185
5,303.3878079406181,H6T 2Z5,2019/8/11,405018.4549990665
4,299.09338474318014,H4T 1E9,2017/10/3,412307.69511660264
3,301.73951651426484,H9P 4R1,2020/1/18,393549.7243242126
5,301.6753701747788,H4I 6E5,2017/3/16,446764.46466962853
4,299.289832689759,H1H 6T5,2018/5/22,403769.573534138
3,295.98612007167065,H3X 7U0,2020/1/2,401579.65672871616
4,298.08479080258604,H1R 3D5,2018/6/23,414015.51935440785
3,303.85874323157077,H3U 7T4,2020/9/9,400198.61393381725
3,297.7593411999422,H2G 0M4,2019/4/25,412273.6144412733
5,295.3776981380758,H3K 7K0,2018/4/4,387351.8530040738
5,302.11689527542967,H7J 0F7,2020/10/14,411566.47118862683
5,303.4609366278447,H5G 8T1,2017/9/13,394864.0304870342
4,299.96350719246414,H8T 9K2,2019/4/4,394020.0060681555
4,299.9315588672535,H8A 5U9,2020/6/25,377627.49756074307
5,298.3430670655054,H5R 7J6,2019/5/8,393215.44281612086
3,300.5532393649261,H7W 0A2,2019/7/8,382737.20919906447
4,302.3861818713879,H1Y 6A7,2017/10/17,419995.5381287823
4,300.0495424481025,H2E 1T7,2017/5/12,407592.73899841285
3,299.5721877409459,H0F 1R6,2020/3/6,416447.6313253838
3,299.3233745496654,H6O 6F1,2020/11/18,397088.45467652095
3,298.87289271450265,H2T 4J8,2018/4/18,419914.60665557993
3,300.710134131166,H9M 5M8,2020/3/12,390947.7784396664
3,299.5831615095929,H9Y 3E2,2020/6/21,394910.89781715506
4,300.98553567124156,H3B 1J1,2017/7/23,383642.433000699
4,300.4114422750949,H7H 8S8,2019/9/6,375592.5843422969
5,301.3277497934329,H7M 6N9,2018/7/13,391531.96409158694
5,296.59102426425915,H7V 3D4,2018/5/1,395601.20610361133
5,300.2655351244997,H3Q 0T0,2018/2/7,386824.8040105372
5,297.394608959335,H3Z 0P0,2019/5/7,419827.4975221581
5,299.41034653770623,H8S 4Y3,2018/5/18,389165.34216259315
3,301.1431892619152,H1M 5O1,2020/5/23,377649.77529032656
4,302.12242985982465,H7B 3C3,2020/4/4,424841.44296274247
